contentId	song	title	artist.0	artist.1	rank	viewCounter	commentCounter	mylistCounter	likeCounter	userId	tags.0	tags.1	tags.2	tags.3	tags.4	tags.5	tags.6	tags.7	tags.8	tags.9	tags.10	startTime	thumbnailUrl	lengthSeconds	sub_artist.0
sm32220951	篝火と霹靂	【篝火と霹靂 】うみろ feat.flower	うみろ		非公開	154462	503	1272		27435971	VOCALOID	VOCALOID民族調曲	VOCAROCK	v_flower	v_flowerオリジナル曲	こじろー	神調教	驚異的な中毒性	VOCALOID殿堂入り	篝火と霹靂		2017-11-05T17:14:51+09:00		202	
sm26983384	あなたの願いをうたうもの	「あなたの願いをうたうもの」 オリジナル曲 Vo.初音ミク	doriko		非公開	155318	2755	4552		655340	VOCALOID	あなたの願いをうたうもの	VOCALOIDイメージソング	ミクオリジナル曲	ボカロバラード	ちほP	初音ミク誕生祭2015	初音ミク	ティッシュ姫	VOCALOID殿堂入り	doriko(きりたんP)	2015-08-22T18:00:00+09:00		315	
sm25485863	いざしゅつじん！	【刀剣乱舞/今剣イメソン】いざしゅつじん！ ／ 鏡音レン、オリジナル。	兎月		非公開	81768	772	1695		20452952	VOCALOID	水屑	鏡音レン	今剣(刀剣乱舞)	刀剣乱舞	彩野	審神者P	いざしゅつじん！	黙ってマイリス	とうらぶオリジナル曲		2015-02-03T18:00:00+09:00		216	
sm29708463	猫と花壇	猫と花壇／滲音かこい	ミリ子		非公開	32492	179	1109		35267836	VOCALOID	UTAU	滲音かこい	UTAUオリジナル曲	ミリ子	かこいオリジナル曲	猫と花壇	UTAUROCK	REIKA	UTAU名曲リンク		2016-09-24T17:00:00+09:00		251	
sm43439171	コラム	コラム / 鳴花ヒメ･ナースロボ_タイプT	袖野あらわ		削除済	24010	322	411		118869322	ボカコレ2024冬top100ランキング参加曲	ボカコレ2024冬	VOCALOID	音楽	鳴花ヒメ	ナースロボ_タイプT	ヒメオリジナル曲	薬屋	もっと評価されるべき	POEMLOID	ポエトリーリーディング	2024-02-23T18:00:00+09:00		138	
sm39990513	ダークチョコレート防衛線	【ミク＆レン】ダークチョコレート防衛線【オリジナル】	闇-Hisoka-			6634	81	85		115908311	VOCALOID	初音ミク	鏡音レン	ダークチョコレート防衛線(闇-Hisoka-)	闇-Hisoka-	愛島まろた	星谷かづき	ミク&レンリンク	VOCALOIDオリジナル曲	VOCALOIDバレンタイン曲	かわいいぼかうた	2022-02-04T19:00:00+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/39990513/39990513.27067597	214	
sm30699745	境界性ラインアート	境界性ラインアート／flower	ミリ子		非公開	51557	311	1692		35267836	VOCALOID	v_flower	ミリ子	琴葉猫	v_flowerオリジナル曲	VOCALOIDオリジナル曲	VOCAROCK	境界性ラインアート	もっと評価されるべき			2017-02-24T19:00:00+09:00		246	
sm32072376	エイラ	エイラ／GUMI	宮下遊		非公開	52324	413	608		4840929	VOCALOID	エイラ	GUMI	遊	宮下遊	GUMIオリジナル曲	驚異的な中毒性					2017-10-09T21:30:00+09:00		227	
sm33769484	..	..	全てあなたの所為です。		削除済	83293	572	2271		77822710	全	て	あ	な	た	の	所	為	で	す		2018-08-29T19:24:03+09:00		130	
sm39453314	dynaMic Letter	dynaMic Letter / Maubox & Circus-P feat. 初音ミク&鏡音レン	Maubox	CircusP		5358	98	60		98921799	VOCALOID	初音ミク	鏡音レン	ミクオリジナル曲	レンオリジナル曲	英語レン	英語ミク	vocaloidデュエット曲	Circus-P	ミク&レンリンク	お洒落なぼかうた	2021-10-09T17:40:02+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/39453314/39453314.60390637	247	
sm41182046	ちっぱいがいっぱい	ちっぱいがいっぱい / さたぱんP feat.初音ミク	さたぱんP		非公開	281761	1454	476		125060233	ボカコレ2022秋TOP100参加作品	ボカセカ応募楽曲	VOCALOID	初音ミク	ミクオリジナル曲	VOCALOIDオリジナル曲	VOCALOID殿堂入り	さたぱんP	歌ってみろ			2022-10-08T00:00:00+09:00		188	
sm14373519	キミトセカイ	【初音ミク】キミトセカイ【オリジナル】	Paolino		削除済	321704	7448	15735		21553828	VOCALOID	Paolino	VOCALOID殿堂入り	キミトセカイ	初音ミク	JOYSOUND交渉中	VOCALOID処女作					2011-05-06T19:13:05+09:00		218	
sm28331800	現実ノンフィクション	現実ノンフィクション／MIRAISONIC feat.Fukase	NORA		削除済	105683	792	1136		55586278	VOCALOID	VOCALOID処女作	VOCALOIDFukase	オリジナル	NORA	そにー	Fukase	VOCAROCK	水谷ガガ	まやとも	現実ノンフィクション	2016-03-01T19:32:23+09:00		201	
sm36131300	創造の破壊	「創造の破壊」初音ミク	2kino		削除済	39668	367	396		93377646	VOCALOID	初音ミク	ミクオリジナル曲	Kinos	創造の破壊	VOCALOIDオリジナル曲	音楽	VOCAROCK	VOCALOID処女作	2kino		2019-12-26T19:00:00+09:00		185	
sm16521014	bouquet	「bouquet」 オリジナル曲 vo.初音ミク	doriko		非公開	502162	9981	20660		655340	VOCALOID	初音ミク	ミクオリジナル曲	初音ミク名曲リンク	DAM&JOY配信中	bouquet(doriko)	ボカロバラード	nezuki	切ないミクうた	VOCALOID殿堂入り	doriko(きりたんP)	2011-12-25T17:58:59+09:00		322	
sm41187415	腐っても幸せ	結月ゆかり // 腐っても幸せ	IZ		削除済	49097	599	436		12142854	CeVIO	CeVIOオリジナル曲	VOCALOID	CeVIO_AI	結月ゆかりオリジナル曲	ゆかりオリジナル曲	腐っても幸せ	結月ゆかり	おれらのうた	VOCALOIDネタ曲リンク	もっと評価されるべき	2022-10-08T00:00:00+09:00		150	
sm41013731	コア	コア / 初音ミク	フヲルテ	無色透名祭公式		8045	27	54		37661986	VOCALOID	初音ミク	無色透名祭本人投稿リンク	無色透名祭	ミクオリジナル曲	forute	コア(forute)	VOCALOID新曲リンク				2022-09-01T20:30:00+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/41013731/41013731.22068176	210	
sm38347082	CLASH OUT	CLASH OUT ／ かぁくん feat. 初音ミク	かぁくん		削除済	14844	143	259		59562674	プロセカNEXT	VOCALOID	初音ミク	VOCALOID新曲リンク	初音ミクオリジナル曲	VOCAROCK	ミクオリジナル曲					2021-02-28T21:00:00+09:00		235	
sm39881925	夜の自販機	夜の自販機 / 可不	にほしか		非公開	52135	291	539		121238028	可不	可不オリジナル曲	VOCALOID	CeVIO_AI	CeVIO処女作	にほしか	夜の自販機	期待の新人	CeVIOオリジナル曲	もっと評価されるべき	ボカムンベース	2022-01-10T21:41:02+09:00		165	
sm2554563	何かもう駄目なだんご大家族	何かもう駄目なだんご大家族	vee			330834	13964	5380		1675100	音楽	LaLavoice	だんご大家族	死にたい	おれらのうた	みんなのうつ	病み病み動画	CLANNAD	驚きの暗さ	おいやめろ	ごめんなさい	2008-03-08T01:11:59+09:00	https://nicovideo.cdn.nimg.jp/thumbnails/2554563/2554563	90	
sm41173209	没	​ᅠᅠᅠᅠᅠᅠ	にほしか		非公開	36038	93	349		121238028	歌愛ユキ	VOCALOID	お洒落なぼかうた	ユキオリジナル曲	VOCALOID新曲リンク	VOCALOID無題曲リンク	にほしか	キケン(絵師)	没（にほしか）			2022-10-04T20:00:00+09:00		125	
sm32808001	ロリータファッション	ロリータファッション／夢眠ネム	如月ましろ		非公開	74740	97	563		31046876	VOCALOID	ネムオリジナル曲	夢眠ネム(VOCALOID)	ましろ	桐山マチ	ロリータファッション(ましろ)	ましろ(ボカロP)	ましろ(患いP)	dubstep	DubSteloid		2018-02-28T11:06:03+09:00		246	
